admin_description,area_code,weekly_payment_gross,weekly_payment_gross_CV,weekly_payment_excluding,weekly_payment_excluding_CV,weekly_payment_basic,weekly_payment_basic_CV,overtime_payment,overtime_payment_CV,hourly_payment,hourly_payment_CV,hourly_payment_excluding,hourly_payment_excluding_CV,annual_payment_gross,annual_payment_gross_CV,annual_payment_incentive,annual_payment_incentive_CV,hours_worked_total,hours_worked_total_CV,hours_worked_basic,hours_worked_basic_CV,hours_worked_overtime,hours_worked_overtime_CV
pca10:Leeds Central,E14000777,446.8,4.8,437.1,5.2,409.9,4.7,,,11.62,5.7,11.63,5.5,22.198,10.0,,,37.5,1.1,37.5,0.3,,
pca10:Leeds East,E14000778,460.1,6.5,434.3,7.1,421.9,5.5,,,11.77,7.4,11.77,6.5,22.732,17.0,,,37.5,1.4,37.0,0.4,,
pca10:Leeds North East,E14000779,546.0,6.8,543.7,7.1,529.5,7.2,,,14.81,7.3,14.82,7.3,28.768,7.9,,,37.5,0.3,37.4,0.3,,
pca10:Leeds North West,E14000780,511.1,8.6,501.6,9.0,491.4,9.3,,,13.50,8.9,13.50,9.6,27.259,12.0,,,37.4,0.7,37.4,0.3,,
pca10:Leeds West,E14000781,461.0,4.3,447.0,5.0,416.1,6.6,,,11.72,5.5,11.53,5.5,23.724,5.1,,,37.5,1.1,37.5,0.1,,
pca10:Morley and Outwood,E14000826,536.2,5.0,499.5,5.0,490.5,5.0,,,13.06,5.7,12.98,5.8,27.228,6.5,,,37.5,1.6,37.5,0.1,,
pca10:Normanton. Pontefract and Castleford,E14000836,439.1,7.8,416.8,7.8,397.2,5.7,,,10.74,6.7,10.64,6.9,22.710,12.0,,,38.0,1.7,37.5,0.5,,
pca10:Penistone and Stocksbridge,E14000876,566.2,6.6,550.2,7.4,511.1,8.2,,,14.48,7.2,14.34,7.4,29.876,8.0,,,37.5,0.7,37.5,0.3,,
pca10:Pudsey,E14000886,556.1,6.8,529.6,6.4,501.0,6.9,,,13.99,7.1,13.96,7.3,28.365,12.0,,,37.5,0.3,37.5,0.3,,
pca10:Richmond (Yorks),E14000895,496.7,10.0,457.0,11.0,438.7,12.0,,,11.98,11.0,11.76,11.0,25.965,13.0,,,37.5,1.7,37.5,1.7,,
pca10:Rother Valley,E14000903,481.3,8.5,471.8,8.2,446.8,8.3,,,12.04,9.5,11.95,9.5,27.644,9.8,,,38.7,1.5,37.5,1.0,,
pca10:Rotherham,E14000904,411.5,8.6,372.1,6.9,360.5,6.5,,,10.09,5.6,9.93,5.4,22.902,9.1,,,38.4,1.7,37.5,1.1,,
pca10:Scarborough and Whitby,E14000913,464.5,6.3,441.2,6.9,421.9,4.7,,,11.05,7.9,10.93,8.3,24.090,10.0,,,37.5,1.7,37.5,1.0,,
pca10:Scunthorpe,E14000914,450.9,7.1,438.1,7.0,408.6,7.1,,,11.52,7.3,11.54,7.7,24.768,9.9,,,40.0,1.0,38.9,1.6,,
pca10:Selby and Ainsty,E14000917,529.1,6.5,506.9,6.3,493.1,6.8,,,13.22,7.4,13.25,7.1,26.849,7.5,,,37.5,0.7,37.5,0.3,,
pca10:Sheffield Central,E14000919,471.9,6.1,452.3,6.4,446.9,6.8,,,12.07,6.9,12.13,7.1,24.214,9.3,,,37.5,0.9,37.5,0.3,,
pca10:Sheffield South East,E14000920,457.2,6.5,433.0,6.4,403.9,6.5,,,11.11,6.0,11.05,6.5,23.973,6.5,,,37.5,1.6,37.5,0.5,,
pca10:Sheffield. Brightside and Hillsborough,E14000921,416.0,6.8,403.1,7.1,382.7,6.6,,,10.39,6.2,10.30,6.2,20.342,7.3,,,38.4,1.7,37.5,1.0,,
pca10:Sheffield. Hallam,E14000922,587.4,6.2,576.7,6.8,572.0,7.9,,,15.97,7.0,15.97,7.0,33.929,9.7,,,37.5,0.3,37.3,0.3,,
pca10:Sheffield. Heeley,E14000923,458.6,5.5,433.1,4.4,421.7,4.2,,,11.43,5.5,11.23,5.7,23.236,11.0,,,37.5,1.5,37.5,0.3,,
pca10:Shipley,E14000925,498.3,6.0,484.7,6.8,468.5,7.1,,,12.79,6.4,12.79,6.4,26.920,7.8,,,37.5,0.6,37.4,0.3,,
pca10:Skipton and Ripon,E14000928,459.7,7.3,425.8,7.0,410.1,6.9,,,11.18,6.4,11.09,7.1,24.690,11.0,,,37.5,1.7,37.5,0.7,,
pca10:Thirsk and Malton,E14000993,408.2,6.4,393.1,6.2,383.2,5.4,,,10.25,7.4,10.25,7.5,21.497,12.0,,,37.5,1.4,37.5,1.4,,
pca10:Wakefield,E14001009,421.0,6.2,407.1,5.8,398.0,5.3,,,10.73,5.4,10.65,4.8,21.540,17.0,,,37.5,1.3,37.5,0.9,,
pca10:Wentworth and Dearne,E14001028,443.1,6.6,424.4,5.2,413.4,5.3,,,11.15,6.4,11.15,6.7,23.113,9.1,,,39.0,1.6,37.9,1.0,,
pca10:York Central,E14001061,505.1,7.1,475.5,7.5,435.6,8.3,,,12.77,6.5,12.50,6.9,26.910,9.5,,,37.5,0.7,37.5,0.2,,
pca10:York Outer,E14001062,537.4,8.0,516.9,7.8,479.3,8.1,,,13.64,8.2,13.63,8.6,28.899,8.0,,,37.5,0.7,37.0,0.4,,
